HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4409.10.10.40","5","Other","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4409.10.10.60","5","Western red cedar","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"4409.10.10.80","5","Other","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"4409.10.20.00","3","Wood flooring","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","Free","","33 1/3%","",""
"","3","Wood moldings:","","","","","",""
"","4","Standard wood molding:","","","","","",""
"4409.10.40","5","Pine (<u>Pinus</u> spp.)","","Free","","5%","",""
"4409.10.40.10","6","End-jointed","[""m""]","","","","",""
"4409.10.40.90","6","Other","[""m""]","","","","",""
"4409.10.45.00","5","Other","[""m""]","Free","","5%","",""
"4409.10.50.00","4","Other","[""m""]","Free","","40%","",""
"","3","Wood dowel rods:","","","","","",""
"4409.10.60.00","4","Plain","[""m"",""m<sup>3<\/sup>""]","Free","","5%","",""
"4409.10.65.00","4","Sanded, grooved, or otherwise advanced in condition","[""m"",""m<sup>3<\/sup>""]","4.9%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33 1/3%","",""
"4409.10.90","3","Other","","Free","","$1.70/m<sup>3</sup>","",""
"4409.10.90.20","4","Western red cedar","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"4409.10.90.40","4","Other","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"","1","Nonconiferous:","","","","","",""
"4409.21","2","Of bamboo:","","","","","",""
"4409.21.05.00","3","Wood continuously shaped along any of its ends, whether or not also continuously shaped along any of its edges or faces, all the foregoing whether or not planed, sanded or end-jointed","[""m<sup>3<\/sup>""]","3.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33 1/3%","",""
"4409.21.90.00","3","Other","[""m<sup>3<\/sup>""]","Free","","$1.70/m<sup>3</sup>","",""
"4409.22","2","Of tropical wood:","","","","","",""
"4409.22.05","3","Wood continuously shaped along any of its ends, whether or not also continuously shaped along any of its edges or faces, all the foregoing whether or not planed, sanded or end-jointed","","3.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33 1/3%","",""
"","4","Wood flooring (end-matched):","","","","","",""
"4409.22.05.15","5","Jatoba (<u>Hymenaea</u> spp.), also known as Brazilian Cherry","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"4409.22.05.20","5","Ipé (<u>Tabebuia</u> spp. or <u>Handroanthus</u> spp.), also known as Tahibo or Taheebo, LaPacho or Lapacho, Brazilian walnut, and Patagonian walnut","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"4409.22.05.35","5","Santos mahogany (<u>Myroxylon</u> <u>balsamum</u>), also known as Cabreuva","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"4409.22.05.45","5","Cumaru (<u>Dipteryx</u> spp.), also known as Brazilian teak","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"4409.22.05.60","5","Other","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"4409.22.05.90","4","Other","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"","3","Other:","","","","","",""
"4409.22.10.00","4","Wood siding","[""m<sup>2<\/sup>""]","Free","","4.3¢/m<sup>2</sup><il></il><il></il><il></il>","",""
"4409.22.25.00","4","Wood flooring","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","Free","","8%","",""
"","4","Wood moldings:","","","","","",""
"4409.22.40.00","5","Standard wood moldings","[""m""]","Free","","5%","",""
"4409.22.50","5","Other","","Free","","40%","",""
"4409.22.50.20","6","Durian (<u>Durio</u> spp.)","[""m""]","","","","",""
"4409.22.50.40","6","Jelutong (<u>Dyera</u> spp.)","[""m""]","","","","",""
"4409.22.50.60","6","Obeche (<u>Triplochiton</u> spp.), also known as Ayous","[""m""]","","","","",""
"4409.22.50.90","6","Other","[""m""]","","","","",""
"","4","Wood dowel rods:","","","","","",""
"4409.22.60.00","5","Plain","[""m""]","Free","","5%","",""
"4409.22.65.00","5","Sanded, grooved or otherwise advanced in condition","[""m""]","4.9%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33 1/3%","",""
"4409.22.90","4","Other<il></il><il></il><il></il>","","Free","","$1.70/m<sup>3</sup>","",""
"4409.22.90.20","5","Cumaru (<u>Dipteryx</u> spp.), also known as Brazilian teak","[""m<sup>3<\/sup>""]","","","","",""
"4409.22.90.30","5","Ipé (<u>Tabebuia</u> spp. or <u>Handroanthus</u> spp.), also known as Tahibo or Taheebo, LaPacho or Lapacho, Brazilian walnut and Patagonian walnut<il></il>","[""m<sup>3<\/sup>""]","","","","",""
"4409.22.90.45","5","Keruing (<u>Dipterocarpus</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"4409.22.90.60","5","Padauk (Padouk) or Narra (<u>Pterocarpus</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"4409.22.90.90","5","Other","[""m<sup>3<\/sup>""]","","","","",""
"4409.29","2","Other:","","","","","",""
"4409.29.06","3","Wood continuously shaped along any of its ends, whether or not also continuously shaped along any of its edges or faces, all the foregoing whether or not planed, sanded or end-jointed","","3.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33 1/3%","",""
"4409.29.06.55","4","Wood flooring (end-matched)","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"4409.29.06.65","4","Other","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"","3","Other:","","","","","",""
"4409.29.11.00","4","Wood siding","[""m<sup>2<\/sup>""]","Free","","4.3¢/m<sup>2</sup>","",""
"4409.29.26","4","Wood flooring","","Free","","8%","",""
"4409.29.26.30","5","Maple (<u>Acer</u> spp.)","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"4409.29.26.50","5","Birch (<u>Betula</u> spp.) and beech (<u>Fagus</u> spp.)","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"4409.29.26.60","5","Other","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
"","4","Wood moldings:","","","","","",""
"4409.29.41.00","5","Standard wood moldings","[""m""]","Free","","5%","",""
"4409.29.51.00","5","Other","[""m""]","Free","","40%","",""
"","4","Wood dowel rods:","","","","","",""
"4409.29.61.00","5","Plain","[""m""]","Free","","5%","",""
"4409.29.66.00","5","Sanded, grooved or otherwise advanced in condition","[""m""]","4.9%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33 1/3%","",""
"4409.29.91.00","4","Other","[""m<sup>3<\/sup>""]","Free","","$1.70/m<sup>3</sup>","",""
"4410","0","Particle board, oriented strand board (OSB) and similar board (for example, waferboard) of wood or other ligneous materials, whether or not agglomerated with resins or other organic binding substances:","","","","","",""
"","1","Of wood:","","","","","",""
"4410.11.00","2","Particle board","","Free","","40%","",""
"4410.11.00.10","3","Unworked or not further worked than sanded","[""m<sup>3<\/sup>"",""kg""]","","","","",""
"4410.11.00.20","3","Surface-covered with melamine-impregnated paper","[""m<sup>3<\/sup>"",""kg""]","","","","",""
"4410.11.00.30","3","Surface-covered with decorative laminates of plastic","[""m<sup>3<\/sup>"",""kg""]","","","","",""
"4410.11.00.60","3","Other","[""m<sup>3<\/sup>"",""kg""]","","","","",""
"4410.12.00","2","Oriented strand board (OSB)","","Free","","40%","",""
"4410.12.00.10","3","Unworked or not further worked than sanded","[""m<sup>3<\/sup>"",""kg""]","","","","",""
"4410.12.00.20","3","Other","[""m<sup>3<\/sup>"",""kg""]","","","","",""
"4410.19.00","2","Other","","Free","","40%","",""
"4410.19.00.10","3","Unworked or not further worked than sanded","[""m<sup>3<\/sup>"",""kg""]","","","","",""
"4410.19.00.20","3","Surface-covered with melamine-impregnated paper","[""m<sup>3<\/sup>"",""kg""]","","","","",""
"4410.19.00.30","3","Surface-covered with decorative laminates of plastic","[""m<sup>3<\/sup>"",""kg""]","","","","",""
"4410.19.00.60","3","Other","[""m<sup>3<\/sup>"",""kg""]","","","","",""
"4410.90.00.00","1","Other","[""m<sup>3<\/sup>"",""kg""]","Free","","20%","",""
"4411","0","Fiberboard of wood or other ligneous materials, whether or not bonded with resins or other organic substances:","","","","","",""
"","1","Medium density fiberboard (MDF):","","","","","",""
"4411.12","2","Of a thickness not exceeding 5 mm:","","","","","",""
"4411.12.10.00","3","Not mechanically worked or surface covered","[""m<sup>3<\/sup>""]","Free","","30%","",""
"","3","Other:","","","","","",""
"","4","Tongued, grooved or rabbetted continuously along any of its edges and dedicated for use in the construction of walls, ceilings or other parts of buildings:","","","","","",""
"4411.12.20.00","5","Laminated boards bonded in whole or in part, or impregnated, with synthetic resins","[""kg"",""m<sup>3<\/sup>""]","1.9¢/kg + 1.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33¢/kg + 25%","",""
"4411.12.30.00","5","Other","[""m<sup>3<\/sup>""]","Free","","20%","",""
"","4","Other:","","","","","",""
"4411.12.60.00","5","Not surface covered (except for oil treatment)","[""m<sup>3<\/sup>""]","Free","","30%","",""
"4411.12.90","5","Other","","3.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"4411.12.90.10","6","Standard wood molding","[""m<sup>3<\/sup>""]","","","","",""
"4411.12.90.90","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"4411.13","2","Of a thickness exceeding 5 mm but not exceeding 9 mm:","","","","","",""
"4411.13.10.00","3","Not mechanically worked or surface covered","[""m<sup>3<\/sup>""]","Free","","30%","",""
"","3","Other:","","","","","",""
"","4","Tongued, grooved or rabbetted continuously along any of its edges and dedicated for use in the construction of walls, ceilings or other parts of buildings:","","","","","",""
"4411.13.20.00","5","Laminated boards bonded in whole or in part, or impregnated, with synthetic resins","[""kg"",""m<sup>3<\/sup>""]","1.9¢/kg + 1.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33¢/kg + 25%","",""
"4411.13.30.00","5","Other","[""m<sup>3<\/sup>""]","Free","","20%","",""
"","4","Other:","","","","","",""
"4411.13.60.00","5","Not surface covered (except for oil treatment)","[""m<sup>3<\/sup>""]","Free","","30%","",""
"4411.13.90","5","Other","","3.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"4411.13.90.10","6","Standard wood molding","[""m<sup>3<\/sup>""]","","","","",""
"4411.13.90.90","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"4411.14","2","Of a thickness exceeding 9 mm:","","","","","",""
"4411.14.10.00","3","Not mechanically worked or surface covered","[""m<sup>3<\/sup>""]","Free","","30%","",""
"","3","Other:","","","","","",""
"","4","Tongued, grooved or rabbetted continuously along any of its edges and dedicated for use in the construction of walls, ceilings or other parts of buildings:","","","","","",""
"4411.14.20.00","5","Laminated boards bonded in whole or in part, or impregnated, with synthetic resins","[""kg"",""m<sup>3<\/sup>""]","1.9¢/kg + 1.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33¢/kg + 25%","",""
"4411.14.30.00","5","Other","[""m<sup>3<\/sup>""]","Free","","20%","",""
"","4","Other:","","","","","",""
"4411.14.60.00","5","Not surface covered (except for oil treatment)","[""m<sup>3<\/sup>""]","Free","","30%","",""
"4411.14.90","5","Other","","3.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"4411.14.90.10","6","Standard wood molding","[""m<sup>3<\/sup>""]","","","","",""
"4411.14.90.90","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","1","Other:","","","","","",""
"4411.92","2","Of a density exceeding 0.8 g/cm<sup>3</sup> :","","","","","",""
"4411.92.10.00","3","Not mechanically worked or surface covered","[""m<sup>3<\/sup>""]","Free","","30%","",""
"","3","Other:","","","","","",""
"4411.92.20.00","4","Not surface covered (except for oil treatment)","[""m<sup>3<\/sup>""]","Free","","30%","",""
"","4","Other:","","","","","",""
"4411.92.30.00","5","Tileboard which has been continuously worked along any of its edges and is dedicated for use in the construction of walls, ceilings or other parts of buildings","[""m<sup>3<\/sup>""]","Free","","20%","",""
"4411.92.40.00","5","Other","[""m<sup>3<\/sup>""]","6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"4411.93","2","Of a density exceeding 0.5 g/cm<sup>3</sup> but not exceeding 0.8 g/cm<sup>3</sup> :","","","","","",""
"4411.93.10.00","3","Not mechanically worked or surface covered","[""m<sup>3<\/sup>""]","Free","","30%","",""
"","3","Other:","","","","","",""
"","4","Tongued, grooved or rabbetted continuously along any of its edges and dedicated for use in the construction of walls, ceilings or other parts of buildings:","","","","","",""
"4411.93.20.00","5","Laminated boards bonded in whole or in part, or impregnated, with synthetic resins","[""kg"",""m<sup>3<\/sup>""]","1.9¢/kg + 1.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33¢/kg + 25%","",""
"4411.93.30.00","5","Other","[""m<sup>3<\/sup>""]","Free","","20%","",""
"","4","Other:","","","","","",""
"4411.93.60.00","5","Not surface covered (except for oil treatment)","[""m<sup>3<\/sup>""]","Free","","30%","",""
"4411.93.90","5","Other","","3.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"4411.93.90.10","6","Standard wood molding","[""m<sup>3<\/sup>""]","","","","",""
"4411.93.90.90","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"4411.94.00","2","Of a density not exceeding 0.5 g/cm<sup>3</sup>","","Free","","20%","",""
"","3","Of a density exceeding 0.35 g/cm<sup>3</sup> but not exceeding 0.5 g/cm<sup>3</sup>:","","","","","",""
"","4","Not mechanically worked or surface covered:","","","","","",""
"4411.94.00.10","5","Impregnated with bitumen","[""m<sup>3<\/sup>""]","","","","",""
"4411.94.00.20","5","Other","[""m<sup>3<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4411.94.00.30","5","Impregnated with bitumen","[""m<sup>3<\/sup>""]","","","","",""
"4411.94.00.40","5","Other","[""m<sup>3<\/sup>""]","","","","",""
"","3","Other:","","","","","",""
"","4","Not mechanically worked or surface covered:","","","","","",""
"4411.94.00.50","5","Impregnated with bitumen","[""m<sup>3<\/sup>""]","","","","",""
"4411.94.00.60","5","Other","[""m<sup>3<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4411.94.00.70","5","Impregnated with bitumen","[""m<sup>3<\/sup>""]","","","","",""
"4411.94.00.80","5","Other","[""m<sup>3<\/sup>""]","","","","",""
"4412","0","Plywood, veneered panels and similar laminated wood:","","","","","",""
"4412.10","1","Of bamboo:","","","","","",""
"4412.10.05.00","2","Plywood","[""m<sup>3<\/sup>""]","8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"4412.10.90.00","2","Other","[""m<sup>3<\/sup>""]","Free","","40%","",""
"","1","Other plywood consisting solely of sheets of wood (other than bamboo), each ply not exceeding 6 mm in thickness:","","","","","",""
"4412.31","2","With at least one outer ply of tropical wood:","","","","","",""
"","3","Not surface covered, or surface covered with a clear or transparent material which does not obscure the grain, texture or markings of the face ply:","","","","","",""
"4412.31.06","4","With a face ply of birch (<u>Betula</u> spp.)","","Free","","50%","",""
"4412.31.06.20","5","Panels not exceeding in any dimension 3.6 mm in thickness, 1.2 m in width and 2.2 m in length","[""m<sup>3<\/sup>""]","","","","",""
"","5","Other:","","","","","",""
"4412.31.06.40","6","Not surface covered","[""m<sup>3<\/sup>""]","","","","",""
"4412.31.06.60","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"4412.31.26","4","With a face ply of Spanish cedar (<u>Cedrela</u> spp.) or walnut (<u>Juglans</u> spp)","","8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"4412.31.26.10","5","With a face ply of Spanish cedar (<u>Cedrela</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"4412.31.26.20","5","With a face ply of walnut (<u>Juglans</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"","5","With at least one outer ply of the following tropical woods: Dark Red Meranti, Light Red Meranti, White Lauan, Sipo, Limba, Okoumé, Obeche, Acajou d'Afrique, Sapelli, Virola, Mahogany, Palissandre de Para, Palissandre de Rio or Palissandre de Rose:","","","","","",""
"4412.31.42.00","6","With a face ply of mahogany (<u>Swietenia</u> spp. or <u>Khaya</u> spp.)","[""m<sup>3<\/sup>""]","8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"4412.31.45.00","6","Panels not exceeding 3.6 mm in thickness and exceeding 1.2 m in width and 2.2 m in length","[""m<sup>3<\/sup>""]","8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"4412.31.48","6","Other","","8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"4412.31.48.50","7","Panels not exceeding 3.6 mm in thickness and not exceeding 1.2 m in width and 2.2 m in length","[""m<sup>3<\/sup>""]","","","","",""
"","7","Other:","","","","","",""
"","8","Not surface covered:","","","","","",""
"4412.31.48.60","9","Dark Red Meranti, Light Red Meranti or White Lauan (Luan) (<u>Shorea</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"4412.31.48.63","9","Limba (<u>Terminalia</u> spp.), also known as Terminalia and Nargusta","[""m<sup>3<\/sup>""]","","","","",""
"4412.31.48.66","9","Virola (<u>Virola</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"4412.31.48.69","9","Other","[""m<sup>3<\/sup>""]","","","","",""
"","8","Other:","","","","","",""
"4412.31.48.75","9","Wood flooring","[""m<sup>3<\/sup>""]","","","","",""
"4412.31.48.80","9","Other","[""m<sup>3<\/sup>""]","","","","",""
"4412.31.52","5","Other","","8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"4412.31.52.25","6","Wood flooring","[""m<sup>3<\/sup>""]","","","","",""
"","6","Other:","","","","","",""
"4412.31.52.35","7","With a face ply of sen (<u>Kalopanax</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"","7","Other:","","","","","",""
"4412.31.52.55","8","Panels not exceeding in any dimension 3.6 mm in thickness, 1.2 m in width and 2.2 m in length","[""m<sup>3<\/sup>""]","","","","",""
"","8","Other:","","","","","",""
"","9","Not surface covered:","","","","","",""
"4412.31.52.60","10","Albizia (<u>Albizia</u> spp.), also known as Falcata, Batai and Suar wood","[""m<sup>3<\/sup>""]","","","","",""
"4412.31.52.62","10","Bintangor (<u>Calophyllum</u> spp.)","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>""]","","","","",""
"4412.31.52.64","10","Mersawa (<u>Anisoptera</u> spp.)","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>""]","","","","",""
"4412.31.52.66","10","Parica (<u>Schizolobium</u> spp.), also known as Pinho Cuiabano, Firetree and Guapuruvu","[""m<sup>3<\/sup>""]","","","","",""
"4412.31.52.68","10","Pencil cedar, Nyatoh (<u>Palaquium</u> spp.)","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>""]","","","","",""
"4412.31.52.70","10","Other","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>""]","","","","",""
"4412.31.52.75","9","Other","[""m<sup>3<\/sup>""]","","","","",""
"","3","Other:","","","","","",""
"4412.31.61.00","4","With at least one outer ply of the following tropical woods: Dark Red Meranti, Light Red Meranti, White Lauan, Sipo, Limba, Okoumé, Obeche, Acajou d'Afrique, Sapelli, Virola, Mahogany, Palissandre de Para, Palissandre de Rio or Palissandre de Rose","[""m<sup>3<\/sup>""]","8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"4412.31.92.00","4","Other","[""m<sup>3<\/sup>""]","8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
